authority_id;permission_id
1;59
1;58
1;57
1;56
1;55
2;33
2;34
2;35
2;36
2;37
2;32
2;31
2;30
2;28
2;29
2;27
2;26
2;25
2;38
2;39
2;40
2;54
2;53
2;52
2;51
2;50
2;48
2;49
2;47
2;46
2;45
2;43
2;42
2;41
2;44
2;14
2;4
2;12
2;24
2;11
2;10
2;9
2;8
2;7
2;6
2;5
2;1
2;3
2;15
2;16
2;13
2;17
2;18
2;19
2;20
2;2
2;21
2;22
2;23
3;42
3;1
3;5
3;7
3;27
3;25
3;53
3;54
3;50
3;49
3;48
3;47
3;46
3;45
3;41
3;40
3;39
3;28
3;51
3;26
3;52
4;5
4;6
6;45
6;1
6;54
6;53
6;51
6;47
6;49
6;48
6;46
6;50
6;20
6;3
6;21
6;17
6;22
6;8
6;12
6;13
6;16
6;4
6;2
6;9
6;24
6;10
6;52
7;13
7;1
7;49
7;3
7;45
7;54
7;53
7;52
7;51
7;50
7;48
7;47
7;46
7;10
7;24
7;9
7;22
7;17
7;16
7;12
7;21
7;20
7;2
7;4
7;8
8;17
8;16
8;22
8;13
8;12
8;21
8;20
9;21
9;12
9;13
9;16
9;17
